"Año";"Periodo";"Precio de la luz"
"2022";"2022";"122,63"
"2022";"Día 2 de enero";"136,97"
"2022";"Día 3 de enero";"150,5"
"2022";"Día 4 de enero";"152,47"
"2022";"Día 5 de enero";"180,99"
"2022";"Día 6 de enero";"212,98"
"2022";"Día 7 de enero";"215,86"
"2022";"Día 8 de enero";"203,45"
"2022";"Día 9 de enero";"119,83"
"2022";"Día 10 de enero";"217,26"
"2022";"Día 11 de enero";"223,16"
"2022";"Día 12 de enero";"206,07"
"2022";"Día 13 de enero";"215,11"
"2022";"Día 14 de enero";"202,95"
"2022";"Día 15 de enero";"218,82"
"2022";"Día 16 de enero";"213,1"
"2022";"Día 17 de enero";"244,67"
"2022";"Día 18 de enero";"222,73"
"2022";"Día 19 de enero";"213,16"
"2022";"Día 20 de enero";"190,64"
"2022";"Día 21 de enero";"179,09"
"2022";"Día 22 de enero";"190,41"
"2022";"Día 23 de enero";"201,34"
"2022";"Día 24 de enero";"227"
"2022";"Día 25 de enero";"224,24"
"2022";"Día 26 de enero";"236,77"
"2022";"Día 27 de enero";"232,5"
"2022";"Día 28 de enero";"224,59"
"2022";"Día 29 de enero";"223,36"
"2022";"Día 30 de enero";"230,5"
"2022";"Día 31 de enero";"221,82"
"2022";"Día 1 de febrero";"206,54"
"2022";"Día 2 de febrero";"210,18"
"2022";"Día 3 de febrero";"207,89"
"2022";"Día 4 de febrero";"197,03"
"2022";"Día 5 de febrero";"198,37"
"2022";"Día 6 de febrero";"190,47"
"2022";"Día 7 de febrero";"206,46"
"2022";"Día 8 de febrero";"203,7"
"2022";"Día 9 de febrero";"210,52"
"2022";"Día 10 de febrero";"205,7"
"2022";"Día 11 de febrero";"196,49"
"2022";"Día 12 de febrero";"198,94"
"2022";"Día 13 de febrero";"164,04"
"2022";"Día 14 de febrero";"183,32"
"2022";"Día 15 de febrero";"199,94"
"2022";"Día 16 de febrero";"178,09"
"2022";"Día 17 de febrero";"163,41"
"2022";"Día 18 de febrero";"184,26"
"2022";"Día 19 de febrero";"137,76"
"2022";"Día 20 de febrero";"162,64"
"2022";"Día 21 de febrero";"183,32"
"2022";"Día 22 de febrero";"179,74"
"2022";"Día 23 de febrero";"195,86"
"2022";"Día 24 de febrero";"205,6"
"2022";"Día 25 de febrero";"240,13"
"2022";"Día 26 de febrero";"261,11"
"2022";"Día 27 de febrero";"256,84"
"2022";"Día 28 de febrero";"277,78"
"2022";"Día 1 de marzo";"258,66"
"2022";"Día 2 de marzo";"254,03"
"2022";"Día 3 de marzo";"341,52"
"2022";"Día 4 de marzo";"340,7"
"2022";"Día 5 de marzo";"366,55"
"2022";"Día 6 de marzo";"379,03"
"2022";"Día 7 de marzo";"442,54"
"2022";"Día 8 de marzo";"544,98"
"2022";"Día 9 de marzo";"472,97"
"2022";"Día 10 de marzo";"369,75"
"2022";"Día 11 de marzo";"284,58"
"2022";"Día 12 de marzo";"246,05"
"2022";"Día 13 de marzo";"247,89"
"2022";"Día 14 de marzo";"251,7"
"2022";"Día 15 de marzo";"249,66"
"2022";"Día 16 de marzo";"263,65"
"2022";"Día 17 de marzo";"217,13"
"2022";"Día 18 de marzo";"232,28"
"2022";"Día 19 de marzo";"221,91"
"2022";"Día 20 de marzo";"207,11"
"2022";"Día 21 de marzo";"229,71"
"2022";"Día 22 de marzo";"226,14"
"2022";"Día 23 de marzo";"212,44"
"2022";"Día 24 de marzo";"225,71"
"2022";"Día 25 de marzo";"263,85"
"2022";"Día 26 de marzo";"237,45"
"2022";"Día 27 de marzo";"219,42"
"2022";"Día 28 de marzo";"231,72"
"2022";"Día 29 de marzo";"248,1"
"2022";"Día 30 de marzo";"255,81"
"2022";"Día 31 de marzo";"239,37"
"2022";"Día 1 de abril";"224,75"
"2022";"Día 2 de abril";"225,08"
"2022";"Día 3 de abril";"228,54"
"2022";"Día 4 de abril";"251,41"
"2022";"Día 5 de abril";"265,02"
"2022";"Día 6 de abril";"254,99"
"2022";"Día 7 de abril";"214,79"
"2022";"Día 8 de abril";"154,7"
"2022";"Día 9 de abril";"241,59"
"2022";"Día 10 de abril";"159,33"
"2022";"Día 11 de abril";"163,13"
"2022";"Día 12 de abril";"237,3"
"2022";"Día 13 de abril";"229,44"
"2022";"Día 14 de abril";"220,76"
"2022";"Día 15 de abril";"198,47"
"2022";"Día 16 de abril";"153,85"
"2022";"Día 17 de abril";"111,35"
"2022";"Día 18 de abril";"103,24"
"2022";"Día 19 de abril";"112,12"
"2022";"Día 20 de abril";"85,19"
"2022";"Día 21 de abril";"161,72"
"2022";"Día 22 de abril";"207,77"
"2022";"Día 23 de abril";"86,25"
"2022";"Día 24 de abril";"146,95"
"2022";"Día 25 de abril";"226,57"
"2022";"Día 26 de abril";"233,78"
"2022";"Día 27 de abril";"220,95"
"2022";"Día 28 de abril";"224,97"
"2022";"Día 29 de abril";"214,84"
"2022";"Día 30 de abril";"186,45"
"2022";"Día 1 de mayo";"177,86"
"2022";"Día 2 de mayo";"191,81"
"2022";"Día 3 de mayo";"191,47"
"2022";"Día 4 de mayo";"202,15"
"2022";"Día 5 de mayo";"190,77"
"2022";"Día 6 de mayo";"197,63"
"2022";"Día 7 de mayo";"184,86"
"2022";"Día 8 de mayo";"172,39"
"2022";"Día 9 de mayo";"208,74"
"2022";"Día 10 de mayo";"208,71"
"2022";"Día 11 de mayo";"186,84"
"2022";"Día 12 de mayo";"187,27"
"2022";"Día 13 de mayo";"202,99"
"2022";"Día 14 de mayo";"191,55"
"2022";"Día 15 de mayo";"127,23"
"2022";"Día 16 de mayo";"195,23"
"2022";"Día 17 de mayo";"199,36"
"2022";"Día 18 de mayo";"194,86"
"2022";"Día 19 de mayo";"191,08"
"2022";"Día 20 de mayo";"203,74"
"2022";"Día 21 de mayo";"178,71"
"2022";"Día 22 de mayo";"170,56"
"2022";"Día 23 de mayo";"194,16"
"2022";"Día 24 de mayo";"180,01"
"2022";"Día 25 de mayo";"184,57"
"2022";"Día 26 de mayo";"173,29"
"2022";"Día 27 de mayo";"168,54"
"2022";"Día 28 de mayo";"162,25"
"2022";"Día 29 de mayo";"161,84"
"2022";"Día 30 de mayo";"206,62"
"2022";"Día 31 de mayo";"213,82"
"2022";"Día 1 de junio";"210,45"
"2022";"Día 2 de junio";"214,74"
"2022";"Día 3 de junio";"214,5"
"2022";"Día 4 de junio";"203,86"
"2022";"Día 5 de junio";"193,98"
"2022";"Día 6 de junio";"194,94"
"2022";"Día 7 de junio";"193,32"
"2022";"Día 8 de junio";"185,45"
"2022";"Día 9 de junio";"182,67"
"2022";"Día 10 de junio";"194,35"
"2022";"Día 11 de junio";"190,5"
"2022";"Día 12 de junio";"167,06"
"2022";"Día 13 de junio";"200,62"
"2022";"Día 14 de junio";"214,05"
"2022";"Día 15 de junio";"165,59"
"2022";"Día 16 de junio";"170,81"
"2022";"Día 17 de junio";"177,9"
"2022";"Día 18 de junio";"146,54"
"2022";"Día 19 de junio";"122,61"
"2022";"Día 20 de junio";"157,48"
"2022";"Día 21 de junio";"148,03"
"2022";"Día 22 de junio";"152,75"
"2022";"Día 23 de junio";"149,86"
"2022";"Día 24 de junio";"137,59"
"2022";"Día 25 de junio";"128,7"
"2022";"Día 26 de junio";"117,94"
"2022";"Día 27 de junio";"143,27"
"2022";"Día 28 de junio";"144,66"
"2022";"Día 29 de junio";"132,74"
"2022";"Día 30 de junio";"132,13"
"2022";"Día 1 de julio";"145,22"
"2022";"Día 2 de julio";"142,42"
"2022";"Día 3 de julio";"133,5"
"2022";"Día 4 de julio";"159,92"
"2022";"Día 5 de julio";"139,16"
"2022";"Día 6 de julio";"145,3"
"2022";"Día 7 de julio";"124,2"
"2022";"Día 8 de julio";"146,73"
"2022";"Día 9 de julio";"148,62"
"2022";"Día 10 de julio";"138,62"
"2022";"Día 11 de julio";"157,54"
"2022";"Día 12 de julio";"155,71"
"2022";"Día 13 de julio";"159,45"
"2022";"Día 14 de julio";"162,22"
"2022";"Día 15 de julio";"147,25"
"2022";"Día 16 de julio";"136,83"
"2022";"Día 17 de julio";"102,45"
"2022";"Día 18 de julio";"115,77"
"2022";"Día 19 de julio";"142,35"
"2022";"Día 20 de julio";"147,54"
"2022";"Día 21 de julio";"138,84"
"2022";"Día 22 de julio";"133,45"
"2022";"Día 23 de julio";"155,99"
"2022";"Día 24 de julio";"136,99"
"2022";"Día 25 de julio";"158,02"
"2022";"Día 26 de julio";"145,65"
"2022";"Día 27 de julio";"148,25"
"2022";"Día 28 de julio";"169,86"
"2022";"Día 29 de julio";"141,51"
"2022";"Día 30 de julio";"129,98"
"2022";"Día 31 de julio";"113,09"
"2022";"Día 1 de agosto";"147,43"
"2022";"Día 2 de agosto";"151,29"
"2022";"Día 3 de agosto";"147,85"
"2022";"Día 4 de agosto";"147,23"
"2022";"Día 5 de agosto";"135,24"
"2022";"Día 6 de agosto";"135,53"
"2022";"Día 7 de agosto";"123,98"
"2022";"Día 8 de agosto";"146,31"
"2022";"Día 9 de agosto";"143,99"
"2022";"Día 10 de agosto";"144,78"
"2022";"Día 11 de agosto";"150,19"
"2022";"Día 12 de agosto";"158,25"
"2022";"Día 13 de agosto";"152,32"
"2022";"Día 14 de agosto";"149,18"
"2022";"Día 15 de agosto";"145,35"
"2022";"Día 16 de agosto";"143,2"
"2022";"Día 17 de agosto";"139,3"
"2022";"Día 18 de agosto";"134,67"
"2022";"Día 19 de agosto";"135,35"
"2022";"Día 20 de agosto";"169,11"
"2022";"Día 21 de agosto";"141,1"
"2022";"Día 22 de agosto";"176,4"
"2022";"Día 23 de agosto";"182,93"
"2022";"Día 24 de agosto";"186,95"
"2022";"Día 25 de agosto";"161,88"
"2022";"Día 26 de agosto";"175,33"
"2022";"Día 27 de agosto";"160,04"
"2022";"Día 28 de agosto";"138,74"
"2022";"Día 29 de agosto";"188,42"
"2022";"Día 30 de agosto";"201,96"
"2022";"Día 31 de agosto";"187,3"
"2022";"Día 1 de septiembre";"193,36"
"2022";"Día 2 de septiembre";"152,14"
"2022";"Día 3 de septiembre";"119,22"
