ds,max_temp
2022-01-02,14.5
2022-01-03,14.5
2022-01-04,12.8
2022-01-05,10.1
2022-01-06,8.5
2022-01-07,10.8
2022-01-08,7.6
2022-01-09,13.8
2022-01-10,15.9
2022-01-11,16.5
2022-01-12,13.0
2022-01-13,9.5
2022-01-14,9.8
2022-01-15,9.5
2022-01-16,10.3
2022-01-17,12.0
2022-01-18,12.8
2022-01-19,14.9
2022-01-20,13.6
2022-01-21,10.3
2022-01-22,10.7
2022-01-23,10.7
2022-01-24,9.0
2022-01-25,10.4
2022-01-26,11.8
2022-01-27,15.1
2022-01-28,17.0
2022-01-29,18.1
2022-01-30,17.8
2022-01-31,17.7
2022-02-01,17.7
2022-02-02,20.9
2022-02-03,17.8
2022-02-04,14.0
2022-02-05,15.4
2022-02-06,15.2
2022-02-07,18.2
2022-02-08,17.9
2022-02-09,16.2
2022-02-10,16.6
2022-02-11,16.8
2022-02-12,15.7
2022-02-13,14.5
2022-02-14,12.5
2022-02-15,13.9
2022-02-16,14.9
2022-02-17,18.5
2022-02-18,19.3
2022-02-19,13.9
2022-02-20,16.1
2022-02-21,19.0
2022-02-22,20.8
2022-02-23,18.8
2022-02-24,17.0
2022-02-25,10.2
2022-02-26,9.4
2022-02-27,14.8
2022-02-28,17.3
2022-03-01,18.3
2022-03-02,17.0
2022-03-03,9.3
2022-03-04,13.8
2022-03-05,12.4
2022-03-06,12.6
2022-03-07,11.8
2022-03-08,12.7
2022-03-09,13.5
2022-03-10,15.3
2022-03-11,13.8
2022-03-12,13.0
2022-03-13,14.3
2022-03-14,13.6
2022-03-15,17.3
2022-03-16,15.9
2022-03-17,12.6
2022-03-18,14.3
2022-03-19,13.9
2022-03-20,13.8
2022-03-21,14.6
2022-03-22,12.0
2022-03-23,12.6
2022-03-24,12.4
2022-03-25,13.8
2022-03-26,13.4
2022-03-27,14.6
2022-03-28,17.0
2022-03-29,17.6
2022-03-30,13.0
2022-03-31,13.7
2022-04-01,10.5
2022-04-02,11.0
2022-04-03,11.7
2022-04-04,13.9
2022-04-05,13.3
2022-04-06,17.2
2022-04-07,19.9
2022-04-08,16.4
2022-04-09,18.9
2022-04-10,22.6
2022-04-11,22.9
2022-04-12,15.4
2022-04-13,19.2
2022-04-14,22.3
2022-04-15,24.8
2022-04-16,26.4
2022-04-17,25.3
2022-04-18,26.1
2022-04-19,19.1
2022-04-20,13.2
2022-04-21,17.4
2022-04-22,11.6
2022-04-23,13.2
2022-04-24,18.0
2022-04-25,20.5
2022-04-26,22.1
2022-04-27,18.0
2022-04-28,17.2
2022-04-29,23.1
2022-04-30,23.4
2022-05-01,25.2
2022-05-02,18.3
2022-05-03,16.9
2022-05-04,21.5
2022-05-05,23.6
2022-05-06,24.4
2022-05-07,25.1
2022-05-08,27.0
