"Año";"Periodo";"Precio de la luz"
"2021";"Día 5 de marzo";"52,45"
"2021";"Día 6 de marzo";"45,07"
"2021";"Día 7 de marzo";"47,05"
"2021";"Día 8 de marzo";"54,43"
"2021";"Día 9 de marzo";"56,88"
"2021";"Día 10 de marzo";"55,87"
"2021";"Día 11 de marzo";"40,76"
"2021";"Día 12 de marzo";"40,16"
"2021";"Día 13 de marzo";"27,75"
"2021";"Día 14 de marzo";"24,54"
"2021";"Día 15 de marzo";"47,59"
"2021";"Día 16 de marzo";"34,51"
"2021";"Día 17 de marzo";"17,35"
"2021";"Día 18 de marzo";"32,77"
"2021";"Día 19 de marzo";"29,66"
"2021";"Día 20 de marzo";"22,19"
"2021";"Día 21 de marzo";"30,28"
"2021";"Día 22 de marzo";"55,79"
"2021";"Día 23 de marzo";"64,47"
"2021";"Día 24 de marzo";"64,82"
"2021";"Día 25 de marzo";"66,35"
"2021";"Día 26 de marzo";"60,31"
"2021";"Día 27 de marzo";"41,11"
"2021";"Día 28 de marzo";"38,6"
"2021";"Día 29 de marzo";"45,69"
"2021";"Día 30 de marzo";"53,53"
"2021";"Día 31 de marzo";"55,16"
"2021";"Día 1 de abril";"52,12"
"2021";"Día 2 de abril";"51"
"2021";"Día 3 de abril";"35,18"
"2021";"Día 4 de abril";"27,74"
"2021";"Día 5 de abril";"44,55"
"2021";"Día 6 de abril";"55,97"
"2021";"Día 7 de abril";"66,11"
"2021";"Día 8 de abril";"69,78"
"2021";"Día 9 de abril";"71,87"
"2021";"Día 10 de abril";"65,01"
"2021";"Día 11 de abril";"52,01"
"2021";"Día 12 de abril";"63,04"
"2021";"Día 13 de abril";"75,5"
"2021";"Día 14 de abril";"73,96"
"2021";"Día 15 de abril";"68,19"
"2021";"Día 16 de abril";"68,93"
"2021";"Día 17 de abril";"64,19"
"2021";"Día 18 de abril";"64,54"
"2021";"Día 19 de abril";"79,03"
"2021";"Día 20 de abril";"78,58"
"2021";"Día 21 de abril";"79,6"
"2021";"Día 22 de abril";"74,41"
"2021";"Día 23 de abril";"68,56"
"2021";"Día 24 de abril";"57,31"
"2021";"Día 25 de abril";"61,09"
"2021";"Día 26 de abril";"75,99"
"2021";"Día 27 de abril";"77,95"
"2021";"Día 28 de abril";"74,4"
"2021";"Día 29 de abril";"74,67"
"2021";"Día 30 de abril";"79,29"
"2021";"Día 1 de mayo";"59,36"
"2021";"Día 2 de mayo";"61,39"
"2021";"Día 3 de mayo";"73,54"
"2021";"Día 4 de mayo";"81,27"
"2021";"Día 5 de mayo";"75,71"
"2021";"Día 6 de mayo";"73,11"
"2021";"Día 7 de mayo";"73,5"
"2021";"Día 8 de mayo";"47,25"
